State,commodity,status,existing_total_production,downloaded_total_production,difference,pct_difference,within_absolute_tolerance,downloaded_unit,downloaded_short_desc,downloaded_load_time,downloaded_source
TEXAS,Honey,matched,8321000.0,8497622.0,176622.0,2.1226054560749907,False,LB,"HONEY - PRODUCTION, MEASURED IN LB",2024-07-02 12:00:00.000,USDA NASS QuickStats
TEXAS,Milk,matched,16524000000.0,16531000000.0,7000000.0,0.04236262406197047,False,LB,"MILK - PRODUCTION, MEASURED IN LB",2024-04-23 15:00:00.000,USDA NASS QuickStats
UTAH,Honey,matched,1196000.0,1027235.0,-168765.0,-14.110785953177258,False,LB,"HONEY - PRODUCTION, MEASURED IN LB",2024-07-02 12:00:00.000,USDA NASS QuickStats
UTAH,Milk,matched,2169000000.0,2170000000.0,1000000.0,0.04610419548178884,False,LB,"MILK - PRODUCTION, MEASURED IN LB",2024-04-23 15:00:00.000,USDA NASS QuickStats
VERMONT,Cheese,matched,147814000.0,147811000.0,-3000.0,-0.002029577712530613,False,LB,"CHEESE - PRODUCTION, MEASURED IN LB",2025-04-25 15:00:00.000,USDA NASS QuickStats
VERMONT,Honey,matched,282000.0,565491.0,283491.0,100.52872340425532,False,LB,"HONEY - PRODUCTION, MEASURED IN LB",2024-07-02 12:00:00.000,USDA NASS QuickStats
VERMONT,Milk,matched,2554000000.0,2554000000.0,0.0,0.0,True,LB,"MILK - PRODUCTION, MEASURED IN LB",2024-04-23 15:00:00.000,USDA NASS QuickStats
VIRGINIA,Honey,matched,266000.0,500797.0,234797.0,88.26954887218045,False,LB,"HONEY - PRODUCTION, MEASURED IN LB",2024-07-02 12:00:00.000,USDA NASS QuickStats
VIRGINIA,Milk,matched,1424000000.0,1424000000.0,0.0,0.0,True,LB,"MILK - PRODUCTION, MEASURED IN LB",2024-04-23 15:00:00.000,USDA NASS QuickStats
WASHINGTON,Honey,matched,2752000.0,3388225.0,636225.0,23.118640988372093,False,LB,"HONEY - PRODUCTION, MEASURED IN LB",2024-07-02 12:00:00.000,USDA NASS QuickStats
WASHINGTON,Milk,matched,6239000000.0,6239000000.0,0.0,0.0,True,LB,"MILK - PRODUCTION, MEASURED IN LB",2024-04-23 15:00:00.000,USDA NASS QuickStats
WEST VIRGINIA,Honey,matched,273000.0,365410.0,92410.0,33.84981684981685,False,LB,"HONEY - PRODUCTION, MEASURED IN LB",2024-07-02 12:00:00.000,USDA NASS QuickStats
WEST VIRGINIA,Milk,downloaded_only,,75000000.0,,,,LB,"MILK - PRODUCTION, MEASURED IN LB",2024-04-23 15:00:00.000,USDA NASS QuickStats
WISCONSIN,Cheese,matched,3520083000.0,3520640000.0,557000.0,0.015823490525649537,False,LB,"CHEESE - PRODUCTION, MEASURED IN LB",2025-04-25 15:00:00.000,USDA NASS QuickStats
WISCONSIN,Honey,matched,2915000.0,2660990.0,-254010.0,-8.713893653516296,False,LB,"HONEY - PRODUCTION, MEASURED IN LB",2024-07-02 12:00:00.000,USDA NASS QuickStats
WISCONSIN,Milk,matched,31882000000.0,31882000000.0,0.0,0.0,True,LB,"MILK - PRODUCTION, MEASURED IN LB",2024-04-23 15:00:00.000,USDA NASS QuickStats
WYOMING,Honey,matched,1350000.0,1224763.0,-125237.0,-9.276814814814815,False,LB,"HONEY - PRODUCTION, MEASURED IN LB",2024-07-02 12:00:00.000,USDA NASS QuickStats
WYOMING,Milk,downloaded_only,,239600000.0,,,,LB,"MILK - PRODUCTION, MEASURED IN LB",2024-04-23 15:00:00.000,USDA NASS QuickStats
