commodity,model,feature,importance
Milk,xgboost,State_RHODE ISLAND,7.319761061808094e-05
Milk,xgboost,State_SOUTH DAKOTA,7.069495040923357e-05
Milk,xgboost,State_NEW JERSEY,6.530312384711578e-05
Milk,xgboost,State_KANSAS,6.448665226344019e-05
Milk,xgboost,State_ARKANSAS,6.168641994008794e-05
Milk,xgboost,State_ALABAMA,5.809442518511787e-05
Milk,xgboost,State_NORTH DAKOTA,4.676723256125115e-05
Milk,xgboost,State_OREGON,4.64670556539204e-05
Milk,xgboost,State_FLORIDA,4.4882541260449216e-05
Milk,xgboost,State_SOUTH CAROLINA,4.3868723878404126e-05
Milk,xgboost,State_TEXAS,4.374618220026605e-05
Milk,xgboost,State_NEW HAMPSHIRE,3.962801565648988e-05
Milk,xgboost,State_ARIZONA,3.665018448373303e-05
Milk,xgboost,State_WEST VIRGINIA,3.4751898056128994e-05
Milk,xgboost,State_MISSOURI,3.457565981079824e-05
Milk,xgboost,State_LOUISIANA,3.359826223459095e-05
Milk,xgboost,State_KENTUCKY,3.244567778892815e-05
Milk,xgboost,State_MISSISSIPPI,3.1950828997651115e-05
Milk,xgboost,State_MARYLAND,3.1843228498473763e-05
Milk,xgboost,State_INDIANA,3.13938180624973e-05
Milk,xgboost,State_COLORADO,2.9886326956329867e-05
Milk,xgboost,State_NEBRASKA,2.97142869385425e-05
Milk,xgboost,State_UTAH,2.9554523280239664e-05
Milk,xgboost,State_WASHINGTON,2.8910937544424087e-05
Milk,xgboost,State_TENNESSEE,2.889465758926235e-05
Milk,xgboost,State_GEORGIA,2.8852147806901485e-05
Milk,xgboost,State_DELAWARE,2.8773931262549013e-05
Milk,xgboost,State_MONTANA,2.6699472073232755e-05
Milk,xgboost,State_ILLINOIS,2.5340303182019852e-05
Milk,xgboost,State_VERMONT,2.4223514628829435e-05
Milk,xgboost,State_OKLAHOMA,2.3919712475617416e-05
Milk,xgboost,State_MAINE,2.1428702893899754e-05
Milk,xgboost,State_MICHIGAN,2.091074566124007e-05
Milk,xgboost,State_MASSACHUSETTS,2.0127285097260028e-05
Milk,xgboost,State_IOWA,1.9730086933122948e-05
Milk,xgboost,State_VIRGINIA,1.872683787951246e-05
Milk,xgboost,State_OHIO,1.6353553291992284e-05
Milk,xgboost,State_PENNSYLVANIA,1.529414475953672e-05
Milk,xgboost,State_NEW YORK,1.416614577465225e-05
Milk,xgboost,State_CONNECTICUT,0.0
Milk,xgboost,State_NORTH CAROLINA,0.0
Milk,xgboost,commodity_Milk,0.0
Yogurt,random_forest,total_production,0.1837808089891014
Yogurt,random_forest,rolling_5_mean,0.16543325323068667
Yogurt,random_forest,state_share_of_commodity,0.1458874753600238
Yogurt,random_forest,rolling_3_mean,0.1443093544407351
Yogurt,random_forest,expanding_mean_to_date,0.11597417470758524
Yogurt,random_forest,State_NORTH DAKOTA,0.05451818637042406
Yogurt,random_forest,production_lag_1,0.05105124695935003
Yogurt,random_forest,production_rank_in_commodity_year,0.04581873972826021
Yogurt,random_forest,production_lag_2,0.03839746070734727
Yogurt,random_forest,production_lag_3,0.01872723708816467
Yogurt,random_forest,years_observed_so_far,0.010391967066425627
Yogurt,random_forest,Year,0.008716872882707852
Yogurt,random_forest,State_CALIFORNIA,0.005174936496391597
Yogurt,random_forest,State_NEW YORK,0.0025246502301841714
