State,Year,commodity,total_production
MONTANA,1938,Milk,637000000.0
NEBRASKA,1938,Milk,2479000000.0
NEVADA,1938,Milk,107000000.0
NEW HAMPSHIRE,1938,Milk,353000000.0
NEW JERSEY,1938,Milk,932000000.0
NEW MEXICO,1938,Milk,257000000.0
NEW YORK,1938,Milk,7258000000.0
NORTH CAROLINA,1938,Milk,1286000000.0
NORTH DAKOTA,1938,Milk,1821000000.0
OHIO,1938,Milk,4551000000.0
OKLAHOMA,1938,Milk,2491000000.0
OREGON,1938,Milk,1350000000.0
PENNSYLVANIA,1938,Milk,4523000000.0
RHODE ISLAND,1938,Milk,131000000.0
SOUTH CAROLINA,1938,Milk,545000000.0
SOUTH DAKOTA,1938,Milk,1570000000.0
TENNESSEE,1938,Milk,1850000000.0
TEXAS,1938,Milk,4349000000.0
UTAH,1938,Milk,522000000.0
VERMONT,1938,Milk,1343000000.0
VIRGINIA,1938,Milk,1436000000.0
WASHINGTON,1938,Milk,1912000000.0
WEST VIRGINIA,1938,Milk,807000000.0
WISCONSIN,1938,Milk,11862000000.0
WYOMING,1938,Milk,273000000.0
ALABAMA,1939,Milk,1199000000.0
ARIZONA,1939,Milk,235000000.0
ARKANSAS,1939,Milk,1354000000.0
CALIFORNIA,1939,Milk,4617000000.0
COLORADO,1939,Milk,1002000000.0
CONNECTICUT,1939,Milk,673000000.0
DELAWARE,1939,Milk,139000000.0
FLORIDA,1939,Milk,330000000.0
GEORGIA,1939,Milk,1122000000.0
IDAHO,1939,Milk,1164000000.0
ILLINOIS,1939,Milk,5053000000.0
INDIANA,1939,Milk,3180000000.0
IOWA,1939,Milk,6379000000.0
KANSAS,1939,Milk,2881000000.0
KENTUCKY,1939,Milk,1886000000.0
LOUISIANA,1939,Milk,664000000.0
MAINE,1939,Milk,619000000.0
MARYLAND,1939,Milk,898000000.0
MASSACHUSETTS,1939,Milk,791000000.0
MICHIGAN,1939,Milk,4762000000.0
MINNESOTA,1939,Milk,8160000000.0
MISSISSIPPI,1939,Milk,1310000000.0
MISSOURI,1939,Milk,3271000000.0
MONTANA,1939,Milk,682000000.0
NEBRASKA,1939,Milk,2618000000.0
NEVADA,1939,Milk,109000000.0
NEW HAMPSHIRE,1939,Milk,354000000.0
NEW JERSEY,1939,Milk,943000000.0
NEW MEXICO,1939,Milk,269000000.0
NEW YORK,1939,Milk,7308000000.0
NORTH CAROLINA,1939,Milk,1310000000.0
NORTH DAKOTA,1939,Milk,1906000000.0
OHIO,1939,Milk,4570000000.0
OKLAHOMA,1939,Milk,2487000000.0
OREGON,1939,Milk,1364000000.0
PENNSYLVANIA,1939,Milk,4511000000.0
RHODE ISLAND,1939,Milk,134000000.0
SOUTH CAROLINA,1939,Milk,543000000.0
